Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_dessus_r12
Date: 12.07.2018
Time: 16:44
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.999    Start position Y=-0.001    Start position Z=1    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.000	          -9.625	          -4.607	        -121.002	      -52237.000	          10.670	         121.471	             NaN	              R+	          11.999	           1.000	           0.000	          28.081
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.100	          -9.557	          -3.999	        -121.081	      -52241.551	          10.360	         121.523	             NaN	              R+	          11.999	           1.000	           0.100	          28.167
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.200	          -9.578	          -3.460	        -120.954	      -52246.102	          10.184	         121.382	             NaN	              R+	          11.999	           1.000	           0.200	          28.013
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.300	          -9.520	          -2.803	        -120.950	      -52250.653	           9.924	         121.356	             NaN	              R+	          11.999	           1.000	           0.300	          28.087
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.400	          -9.523	          -2.143	        -120.957	      -52255.204	           9.761	         121.350	             NaN	              R+	          11.999	           1.000	           0.400	          28.003
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.500	          -9.514	          -1.574	        -120.932	      -52259.756	           9.643	         121.315	             NaN	              R+	          11.999	           1.000	           0.500	          28.027
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.600	          -9.500	          -0.863	        -120.899	      -52264.307	           9.539	         121.275	             NaN	              R+	          11.999	           1.000	           0.600	          27.979
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.700	          -9.464	          -0.380	        -120.930	      -52268.858	           9.471	         121.300	             NaN	              R+	          11.999	           1.000	           0.700	          27.936
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.800	          -9.517	           0.426	        -120.901	      -52273.409	           9.527	         121.276	             NaN	              R+	          11.999	           1.000	           0.800	          28.110
           1.000	           1.000	         -11.999	          -0.001	           1.000	           0.900	          -9.548	           0.830	        -120.944	      -52277.960	           9.584	         121.323	             NaN	              R+	          11.999	           1.000	           0.900	          28.006
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.000	          -9.564	           1.466	        -120.958	      -52282.511	           9.675	         121.344	             NaN	              R+	          11.999	           1.000	           1.000	          28.052
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.100	          -9.524	           2.284	        -120.935	      -52287.062	           9.795	         121.331	             NaN	              R+	          11.999	           1.000	           1.100	          28.061
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.200	          -9.535	           2.799	        -121.128	      -52291.613	           9.938	         121.535	             NaN	              R+	          11.999	           1.000	           1.200	          28.090
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.300	          -9.556	           3.493	        -121.057	      -52296.164	          10.174	         121.484	             NaN	              R+	          11.999	           1.000	           1.300	          28.136
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.400	          -9.605	           4.248	        -121.104	      -52300.716	          10.502	         121.558	             NaN	              R+	          11.999	           1.000	           1.400	          28.067
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.500	          -9.628	           4.776	        -121.062	      -52305.267	          10.748	         121.538	             NaN	              R+	          11.999	           1.000	           1.500	          28.157
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.600	          -9.635	           5.402	        -121.114	      -52309.818	          11.046	         121.617	             NaN	              R+	          11.999	           1.000	           1.600	          28.148
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.700	          -9.691	           6.034	        -121.228	      -52314.369	          11.416	         121.764	             NaN	              R+	          11.999	           1.000	           1.700	          28.141
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.800	          -9.743	           6.793	        -121.317	      -52318.920	          11.877	         121.897	             NaN	              R+	          11.999	           1.000	           1.800	          28.102
           1.000	           1.000	         -11.999	          -0.001	           1.000	           1.900	          -9.776	           7.455	        -121.304	      -52323.471	          12.294	         121.925	             NaN	              R+	          11.999	           1.000	           1.900	          28.069
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.000	          -9.821	           7.989	        -121.328	      -52328.022	          12.660	         121.987	             NaN	              R+	          11.999	           1.000	           2.000	          28.157
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.100	          -9.885	           8.606	        -121.494	      -52332.573	          13.106	         122.199	             NaN	              R+	          11.999	           1.000	           2.100	          28.129
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.200	          -9.932	           9.457	        -121.581	      -52337.124	          13.715	         122.352	             NaN	              R+	          11.999	           1.000	           2.200	          28.045
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.300	         -10.025	          10.039	        -121.568	      -52341.676	          14.188	         122.393	             NaN	              R+	          11.999	           1.000	           2.300	          28.120
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.400	         -10.040	          10.704	        -121.617	      -52346.227	          14.675	         122.499	             NaN	              R+	          11.999	           1.000	           2.400	          28.090
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.500	         -10.098	          11.350	        -121.774	      -52350.778	          15.192	         122.718	             NaN	              R+	          11.999	           1.000	           2.500	          28.131
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.600	         -10.173	          12.091	        -121.846	      -52355.329	          15.801	         122.866	             NaN	              R+	          11.999	           1.000	           2.600	          28.079
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.700	         -10.330	          12.857	        -121.984	      -52359.880	          16.492	         123.094	             NaN	              R+	          11.999	           1.000	           2.700	          28.107
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.800	         -10.337	          13.612	        -122.019	      -52364.431	          17.092	         123.210	             NaN	              R+	          11.999	           1.000	           2.800	          28.069
           1.000	           1.000	         -11.999	          -0.001	           1.000	           2.900	         -10.435	          14.404	        -122.187	      -52368.982	          17.787	         123.474	             NaN	              R+	          11.999	           1.000	           2.900	          28.158
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.000	         -10.508	          15.118	        -122.194	      -52373.533	          18.411	         123.573	             NaN	              R+	          11.999	           1.000	           3.000	          28.120
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.100	         -10.549	          15.880	        -122.324	      -52378.084	          19.065	         123.801	             NaN	              R+	          11.999	           1.000	           3.100	          28.161
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.200	         -10.647	          16.568	        -122.446	      -52382.636	          19.694	         124.020	             NaN	              R+	          11.999	           1.000	           3.200	          28.107
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.300	         -10.768	          17.376	        -122.482	      -52387.187	          20.442	         124.176	             NaN	              R+	          11.999	           1.000	           3.300	          28.108
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.400	         -10.823	          18.202	        -122.567	      -52391.738	          21.177	         124.383	             NaN	              R+	          11.999	           1.000	           3.400	          28.168
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.500	         -10.926	          18.842	        -122.645	      -52396.289	          21.781	         124.564	             NaN	              R+	          11.999	           1.000	           3.500	          28.128
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.600	         -11.021	          19.769	        -122.660	      -52400.840	          22.633	         124.731	             NaN	              R+	          11.999	           1.000	           3.600	          28.081
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.700	         -11.175	          20.561	        -122.849	      -52405.391	          23.402	         125.058	             NaN	              R+	          11.999	           1.000	           3.700	          28.120
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.800	         -11.251	          21.557	        -122.890	      -52409.942	          24.316	         125.272	             NaN	              R+	          11.999	           1.000	           3.800	          28.081
           1.000	           1.000	         -11.999	          -0.001	           1.000	           3.900	         -11.284	          22.411	        -122.931	      -52414.493	          25.091	         125.465	             NaN	              R+	          11.999	           1.000	           3.900	          28.163
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.000	         -11.326	          23.185	        -123.159	      -52419.044	          25.804	         125.834	             NaN	              R+	          11.999	           1.000	           4.000	          28.118
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.100	         -11.590	          24.055	        -123.048	      -52423.596	          26.701	         125.912	             NaN	              R+	          11.999	           1.000	           4.100	          28.090
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.200	         -11.661	          24.945	        -123.177	      -52428.147	          27.537	         126.217	             NaN	              R+	          11.999	           1.000	           4.200	          28.149
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.300	         -11.726	          25.771	        -123.203	      -52432.698	          28.314	         126.414	             NaN	              R+	          11.999	           1.000	           4.300	          28.142
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.400	         -11.873	          26.775	        -123.295	      -52437.249	          29.289	         126.726	             NaN	              R+	          11.999	           1.000	           4.400	          28.261
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.500	         -12.001	          27.569	        -123.365	      -52441.800	          30.068	         126.976	             NaN	              R+	          11.999	           1.000	           4.500	          28.106
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.600	         -12.108	          28.590	        -123.397	      -52446.351	          31.048	         127.244	             NaN	              R+	          11.999	           1.000	           4.600	          28.126
           1.000	           1.000	         -11.999	          -0.001	           1.000	           4.700	         -12.249	          29.548	        -123.370	      -52450.902	          31.987	         127.450	             NaN	              R+	          11.999	           1.000	           4.700	          28.117
