Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_dessus_r12
Date: 12.07.2018
Time: 16:45
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.999    Start position Y=-0.001    Start position Z=3.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.000	         -15.000	          -2.602	         -55.151	      -68622.000	          15.224	          57.213	             NaN	              R+	          11.999	           3.001	           0.000	          28.310
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.100	         -15.004	          -2.251	         -55.238	      -68626.551	          15.172	          57.284	             NaN	              R+	          11.999	           3.001	           0.100	          28.338
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.200	         -15.035	          -1.837	         -55.206	      -68631.102	          15.147	          57.246	             NaN	              R+	          11.999	           3.001	           0.200	          28.401
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.300	         -15.011	          -1.449	         -55.219	      -68635.652	          15.081	          57.241	             NaN	              R+	          11.999	           3.001	           0.300	          28.285
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.400	         -14.973	          -1.072	         -55.230	      -68640.203	          15.012	          57.234	             NaN	              R+	          11.999	           3.001	           0.400	          28.276
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.500	         -14.985	          -0.647	         -55.241	      -68644.754	          14.998	          57.241	             NaN	              R+	          11.999	           3.001	           0.500	          28.254
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.600	         -15.018	          -0.300	         -55.255	      -68649.305	          15.021	          57.260	             NaN	              R+	          11.999	           3.001	           0.600	          28.247
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.700	         -14.960	           0.036	         -55.317	      -68653.856	          14.960	          57.304	             NaN	              R+	          11.999	           3.001	           0.700	          28.326
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.800	         -14.963	           0.547	         -55.313	      -68658.407	          14.973	          57.304	             NaN	              R+	          11.999	           3.001	           0.800	          28.156
           1.000	           1.000	         -11.999	          -0.001	           3.001	           0.900	         -14.976	           0.815	         -55.266	      -68662.958	          14.998	          57.264	             NaN	              R+	          11.999	           3.001	           0.900	          28.173
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.000	         -14.957	           1.198	         -55.290	      -68667.508	          15.005	          57.290	             NaN	              R+	          11.999	           3.001	           1.000	          28.248
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.100	         -15.006	           1.768	         -55.256	      -68672.059	          15.110	          57.285	             NaN	              R+	          11.999	           3.001	           1.100	          28.232
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.200	         -14.972	           2.044	         -55.225	      -68676.610	          15.111	          57.255	             NaN	              R+	          11.999	           3.001	           1.200	          28.242
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.300	         -14.976	           2.423	         -55.225	      -68681.161	          15.171	          57.271	             NaN	              R+	          11.999	           3.001	           1.300	          28.306
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.400	         -15.050	           2.922	         -55.147	      -68685.712	          15.331	          57.238	             NaN	              R+	          11.999	           3.001	           1.400	          28.266
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.500	         -15.023	           3.250	         -55.149	      -68690.262	          15.371	          57.251	             NaN	              R+	          11.999	           3.001	           1.500	          28.313
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.600	         -14.974	           3.662	         -55.167	      -68694.813	          15.416	          57.280	             NaN	              R+	          11.999	           3.001	           1.600	          28.331
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.700	         -14.940	           4.060	         -55.140	      -68699.364	          15.482	          57.273	             NaN	              R+	          11.999	           3.001	           1.700	          28.384
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.800	         -14.955	           4.516	         -55.047	      -68703.915	          15.622	          57.221	             NaN	              R+	          11.999	           3.001	           1.800	          28.391
           1.000	           1.000	         -11.999	          -0.001	           3.001	           1.900	         -15.001	           4.900	         -55.005	      -68708.466	          15.781	          57.224	             NaN	              R+	          11.999	           3.001	           1.900	          28.233
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.000	         -14.921	           5.378	         -54.995	      -68713.017	          15.861	          57.237	             NaN	              R+	          11.999	           3.001	           2.000	          28.392
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.100	         -15.024	           5.737	         -54.959	      -68717.568	          16.082	          57.264	             NaN	              R+	          11.999	           3.001	           2.100	          28.239
           1.000	           1.000	         -11.999	          -0.001	           3.001	           2.200	         -14.952	           6.061	         -54.922	      -68722.118	          16.134	          57.243	             NaN	              R+	          11.999	           3.001	           2.200	          28.288
