Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_centre
Date: 12.07.2018
Time: 16:41
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-17.003    Start position Y=-0.001    Start position Z=-11.5    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.000	          79.385	          -2.502	           0.325	       13258.000	          79.424	          79.425	             NaN	              R+	          17.003	         -11.500	           0.000	          27.853
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.100	          79.405	          -2.200	           0.332	       13253.460	          79.435	          79.436	             NaN	              R+	          17.003	         -11.500	           0.100	          27.878
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.200	          79.441	          -1.866	           0.431	       13248.921	          79.463	          79.464	             NaN	              R+	          17.003	         -11.500	           0.200	          27.935
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.300	          79.429	          -1.592	           0.354	       13244.381	          79.445	          79.446	             NaN	              R+	          17.003	         -11.500	           0.300	          27.920
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.400	          79.442	          -1.202	           0.402	       13239.841	          79.451	          79.452	             NaN	              R+	          17.003	         -11.500	           0.400	          27.774
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.500	          79.502	          -0.876	           0.347	       13235.301	          79.507	          79.508	             NaN	              R+	          17.003	         -11.500	           0.500	          27.796
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.600	          79.547	          -0.630	           0.332	       13230.762	          79.550	          79.550	             NaN	              R+	          17.003	         -11.500	           0.600	          27.877
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.700	          79.492	          -0.248	           0.409	       13226.222	          79.493	          79.494	             NaN	              R+	          17.003	         -11.500	           0.700	          27.891
           1.000	           1.000	         -17.003	          -0.001	         -11.500	           0.800	          79.604	           0.215	           0.361	       13221.682	          79.604	          79.605	             NaN	              R+	          17.003	         -11.500	           0.800	          27.874
