Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_surface
Date: 12.07.2018
Time: 16:42
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-16.999    Start position Y=-0.001    Start position Z=0.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.000	          79.964	          -5.157	         -45.715	      -35854.000	          80.130	          92.253	             NaN	              R+	          16.999	           0.001	           0.000	          28.119
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.100	          79.961	          -4.841	         -45.671	      -35858.551	          80.107	          92.212	             NaN	              R+	          16.999	           0.001	           0.100	          28.175
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.200	          79.912	          -4.569	         -45.657	      -35863.102	          80.042	          92.148	             NaN	              R+	          16.999	           0.001	           0.200	          28.158
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.300	          80.012	          -4.230	         -45.668	      -35867.652	          80.123	          92.225	             NaN	              R+	          16.999	           0.001	           0.300	          28.166
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.400	          79.934	          -3.926	         -45.721	      -35872.203	          80.031	          92.170	             NaN	              R+	          16.999	           0.001	           0.400	          28.225
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.500	          80.029	          -3.667	         -45.761	      -35876.754	          80.113	          92.261	             NaN	              R+	          16.999	           0.001	           0.500	          28.207
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.600	          79.984	          -3.384	         -45.695	      -35881.305	          80.055	          92.179	             NaN	              R+	          16.999	           0.001	           0.600	          28.268
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.700	          79.995	          -3.209	         -45.696	      -35885.856	          80.059	          92.182	             NaN	              R+	          16.999	           0.001	           0.700	          28.072
           1.000	           1.000	         -16.999	          -0.001	           0.001	           0.800	          80.096	          -2.755	         -45.758	      -35890.407	          80.143	          92.286	             NaN	              R+	          16.999	           0.001	           0.800	          28.190
