Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_1i2_surface
Date: 12.07.2018
Time: 16:42
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-19    Start position Y=-0.001    Start position Z=0.001    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.000	          37.413	          -3.834	         -20.053	      -19469.000	          37.609	          42.621	             NaN	              R+	          19.000	           0.001	           0.000	          28.653
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.100	          37.450	          -3.616	         -19.961	      -19473.551	          37.624	          42.591	             NaN	              R+	          19.000	           0.001	           0.100	          28.696
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.200	          37.536	          -3.435	         -19.995	      -19478.103	          37.692	          42.667	             NaN	              R+	          19.000	           0.001	           0.200	          28.614
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.300	          37.509	          -3.130	         -20.021	      -19482.654	          37.639	          42.633	             NaN	              R+	          19.000	           0.001	           0.300	          28.617
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.400	          37.511	          -2.898	         -19.998	      -19487.206	          37.622	          42.607	             NaN	              R+	          19.000	           0.001	           0.400	          28.662
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.500	          37.614	          -2.738	         -20.025	      -19491.757	          37.713	          42.700	             NaN	              R+	          19.000	           0.001	           0.500	          28.577
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.600	          37.584	          -2.456	         -20.061	      -19496.308	          37.664	          42.673	             NaN	              R+	          19.000	           0.001	           0.600	          28.571
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.700	          37.645	          -2.228	         -20.067	      -19500.860	          37.711	          42.717	             NaN	              R+	          19.000	           0.001	           0.700	          28.621
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.800	          37.625	          -1.988	         -20.105	      -19505.411	          37.677	          42.706	             NaN	              R+	          19.000	           0.001	           0.800	          28.603
           1.000	           1.000	         -19.000	          -0.001	           0.001	           0.900	          37.625	          -1.625	         -20.080	      -19509.963	          37.660	          42.679	             NaN	              R+	          19.000	           0.001	           0.900	          28.654
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.000	          37.651	          -1.531	         -20.046	      -19514.514	          37.682	          42.682	             NaN	              R+	          19.000	           0.001	           1.000	          28.687
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.100	          37.640	          -1.271	         -20.117	      -19519.065	          37.661	          42.697	             NaN	              R+	          19.000	           0.001	           1.100	          28.653
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.200	          37.646	          -0.937	         -20.140	      -19523.617	          37.657	          42.705	             NaN	              R+	          19.000	           0.001	           1.200	          28.690
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.300	          37.683	          -0.700	         -20.084	      -19528.168	          37.690	          42.707	             NaN	              R+	          19.000	           0.001	           1.300	          28.579
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.400	          37.665	          -0.471	         -20.103	      -19532.719	          37.668	          42.696	             NaN	              R+	          19.000	           0.001	           1.400	          28.649
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.500	          37.708	          -0.284	         -20.086	      -19537.271	          37.709	          42.725	             NaN	              R+	          19.000	           0.001	           1.500	          28.578
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.600	          37.633	          -0.005	         -20.135	      -19541.822	          37.633	          42.680	             NaN	              R+	          19.000	           0.001	           1.600	          28.555
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.700	          37.641	           0.157	         -20.050	      -19546.374	          37.641	          42.648	             NaN	              R+	          19.000	           0.001	           1.700	          28.720
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.800	          37.684	           0.471	         -20.057	      -19550.925	          37.687	          42.692	             NaN	              R+	          19.000	           0.001	           1.800	          28.633
           1.000	           1.000	         -19.000	          -0.001	           0.001	           1.900	          37.664	           0.760	         -20.071	      -19555.476	          37.671	          42.685	             NaN	              R+	          19.000	           0.001	           1.900	          28.604
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.000	          37.661	           0.957	         -20.047	      -19560.028	          37.673	          42.675	             NaN	              R+	          19.000	           0.001	           2.000	          28.779
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.100	          37.666	           1.177	         -20.021	      -19564.579	          37.685	          42.673	             NaN	              R+	          19.000	           0.001	           2.100	          28.618
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.200	          37.634	           1.464	         -20.106	      -19569.131	          37.663	          42.693	             NaN	              R+	          19.000	           0.001	           2.200	          28.655
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.300	          37.647	           1.670	         -20.087	      -19573.682	          37.684	          42.703	             NaN	              R+	          19.000	           0.001	           2.300	          28.698
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.400	          37.722	           1.950	         -20.027	      -19578.233	          37.772	          42.753	             NaN	              R+	          19.000	           0.001	           2.400	          28.624
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.500	          37.599	           2.219	         -20.074	      -19582.785	          37.665	          42.680	             NaN	              R+	          19.000	           0.001	           2.500	          28.666
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.600	          37.544	           2.352	         -19.984	      -19587.336	          37.617	          42.596	             NaN	              R+	          19.000	           0.001	           2.600	          28.653
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.700	          37.517	           2.664	         -20.087	      -19591.888	          37.612	          42.640	             NaN	              R+	          19.000	           0.001	           2.700	          28.645
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.800	          37.590	           2.973	         -20.014	      -19596.439	          37.708	          42.690	             NaN	              R+	          19.000	           0.001	           2.800	          28.700
           1.000	           1.000	         -19.000	          -0.001	           0.001	           2.900	          37.614	           3.130	         -20.069	      -19600.990	          37.744	          42.748	             NaN	              R+	          19.000	           0.001	           2.900	          28.652
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.000	          37.506	           3.447	         -19.917	      -19605.542	          37.664	          42.606	             NaN	              R+	          19.000	           0.001	           3.000	          28.599
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.100	          37.524	           3.586	         -19.925	      -19610.093	          37.695	          42.637	             NaN	              R+	          19.000	           0.001	           3.100	          28.656
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.200	          37.477	           3.954	         -19.978	      -19614.644	          37.685	          42.653	             NaN	              R+	          19.000	           0.001	           3.200	          28.692
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.300	          37.423	           4.214	         -19.947	      -19619.196	          37.659	          42.615	             NaN	              R+	          19.000	           0.001	           3.300	          28.691
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.400	          37.404	           4.420	         -19.933	      -19623.747	          37.665	          42.614	             NaN	              R+	          19.000	           0.001	           3.400	          28.696
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.500	          37.375	           4.692	         -19.917	      -19628.299	          37.668	          42.609	             NaN	              R+	          19.000	           0.001	           3.500	          28.737
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.600	          37.314	           4.877	         -19.929	      -19632.850	          37.631	          42.583	             NaN	              R+	          19.000	           0.001	           3.600	          28.707
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.700	          37.332	           5.166	         -19.901	      -19637.401	          37.688	          42.619	             NaN	              R+	          19.000	           0.001	           3.700	          28.713
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.800	          37.334	           5.405	         -19.799	      -19641.953	          37.724	          42.604	             NaN	              R+	          19.000	           0.001	           3.800	          28.725
           1.000	           1.000	         -19.000	          -0.001	           0.001	           3.900	          37.306	           5.628	         -19.777	      -19646.504	          37.728	          42.597	             NaN	              R+	          19.000	           0.001	           3.900	          28.764
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.000	          37.279	           5.904	         -19.810	      -19651.056	          37.744	          42.627	             NaN	              R+	          19.000	           0.001	           4.000	          28.700
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.100	          37.180	           6.119	         -19.798	      -19655.607	          37.680	          42.565	             NaN	              R+	          19.000	           0.001	           4.100	          28.765
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.200	          37.109	           6.341	         -19.744	      -19660.158	          37.647	          42.510	             NaN	              R+	          19.000	           0.001	           4.200	          28.639
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.300	          37.084	           6.628	         -19.690	      -19664.710	          37.672	          42.508	             NaN	              R+	          19.000	           0.001	           4.300	          28.682
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.400	          37.053	           6.860	         -19.693	      -19669.261	          37.682	          42.518	             NaN	              R+	          19.000	           0.001	           4.400	          28.761
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.500	          37.065	           7.168	         -19.670	      -19673.812	          37.752	          42.569	             NaN	              R+	          19.000	           0.001	           4.500	          28.770
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.600	          36.988	           7.478	         -19.688	      -19678.364	          37.736	          42.563	             NaN	              R+	          19.000	           0.001	           4.600	          28.659
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.700	          36.949	           7.785	         -19.528	      -19682.915	          37.760	          42.511	             NaN	              R+	          19.000	           0.001	           4.700	          28.691
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.800	          36.858	           7.886	         -19.568	      -19687.467	          37.692	          42.469	             NaN	              R+	          19.000	           0.001	           4.800	          28.651
           1.000	           1.000	         -19.000	          -0.001	           0.001	           4.900	          36.806	           8.178	         -19.473	      -19692.018	          37.704	          42.435	             NaN	              R+	          19.000	           0.001	           4.900	          28.729
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.000	          36.742	           8.457	         -19.457	      -19696.569	          37.703	          42.427	             NaN	              R+	          19.000	           0.001	           5.000	          28.694
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.100	          36.710	           8.718	         -19.410	      -19701.121	          37.731	          42.431	             NaN	              R+	          19.000	           0.001	           5.100	          28.721
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.200	          36.650	           8.890	         -19.370	      -19705.672	          37.713	          42.396	             NaN	              R+	          19.000	           0.001	           5.200	          28.750
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.300	          36.563	           9.190	         -19.388	      -19710.224	          37.700	          42.394	             NaN	              R+	          19.000	           0.001	           5.300	          28.836
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.400	          36.456	           9.482	         -19.327	      -19714.775	          37.669	          42.338	             NaN	              R+	          19.000	           0.001	           5.400	          28.810
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.500	          36.468	           9.737	         -19.310	      -19719.326	          37.745	          42.398	             NaN	              R+	          19.000	           0.001	           5.500	          28.861
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.600	          36.409	           9.962	         -19.274	      -19723.878	          37.747	          42.383	             NaN	              R+	          19.000	           0.001	           5.600	          28.847
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.700	          36.302	          10.194	         -19.188	      -19728.429	          37.706	          42.307	             NaN	              R+	          19.000	           0.001	           5.700	          28.786
           1.000	           1.000	         -19.000	          -0.001	           0.001	           5.800	          36.229	          10.481	         -19.186	      -19732.981	          37.715	          42.314	             NaN	              R+	          19.000	           0.001	           5.800	          28.733
