Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_dessus_r12
Date: 12.07.2018
Time: 16:34
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.998    Start position Y=-0.001    Start position Z=1    Start position R=67.808
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.000	          -5.639	         -11.356	        -126.136	       62451.000	          12.679	         126.772	             NaN	              R+	          11.998	           1.000	           0.000	          28.577
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.100	          -5.605	         -10.726	        -126.053	       62446.449	          12.102	         126.632	             NaN	              R+	          11.998	           1.000	           0.100	          28.581
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.200	          -5.547	         -10.146	        -125.977	       62441.897	          11.563	         126.506	             NaN	              R+	          11.998	           1.000	           0.200	          28.587
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.300	          -5.473	          -9.401	        -125.984	       62437.346	          10.878	         126.453	             NaN	              R+	          11.998	           1.000	           0.300	          28.657
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.400	          -5.445	          -8.668	        -125.810	       62432.794	          10.236	         126.226	             NaN	              R+	          11.998	           1.000	           0.400	          28.577
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.500	          -5.412	          -8.038	        -125.712	       62428.243	           9.690	         126.085	             NaN	              R+	          11.998	           1.000	           0.500	          28.599
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.600	          -5.331	          -7.277	        -125.656	       62423.692	           9.021	         125.979	             NaN	              R+	          11.998	           1.000	           0.600	          28.674
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.700	          -5.349	          -6.705	        -125.546	       62419.140	           8.577	         125.839	             NaN	              R+	          11.998	           1.000	           0.700	          28.594
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.800	          -5.262	          -5.963	        -125.508	       62414.589	           7.953	         125.760	             NaN	              R+	          11.998	           1.000	           0.800	          28.673
           1.000	           1.000	         -11.998	          -0.001	           1.000	           0.900	          -5.272	          -5.346	        -125.469	       62410.037	           7.508	         125.694	             NaN	              R+	          11.998	           1.000	           0.900	          28.596
           1.000	           1.000	         -11.998	          -0.001	           1.000	           1.000	          -5.206	          -4.689	        -125.437	       62405.486	           7.006	         125.632	             NaN	              R+	          11.998	           1.000	           1.000	          28.579
           1.000	           1.000	         -11.998	          -0.001	           1.000	           1.100	          -5.174	          -3.927	        -125.366	       62400.935	           6.496	         125.534	             NaN	              R+	          11.998	           1.000	           1.100	          28.577
           1.000	           1.000	         -11.998	          -0.001	           1.000	           1.200	          -5.212	          -3.495	        -125.306	       62396.383	           6.275	         125.463	             NaN	              R+	          11.998	           1.000	           1.200	          28.617
           1.000	           1.000	         -11.998	          -0.001	           1.000	           1.300	          -5.250	          -2.772	        -125.339	       62391.832	           5.937	         125.479	             NaN	              R+	          11.998	           1.000	           1.300	          28.641
           1.000	           1.000	         -11.998	          -0.001	           1.000	           1.400	          -5.224	          -2.027	        -125.341	       62387.281	           5.604	         125.466	             NaN	              R+	          11.998	           1.000	           1.400	          28.602
