Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_dessus_r12
Date: 12.07.2018
Time: 16:36
Sample: 5mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 5mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-11.997    Start position Y=-0.001    Start position Z=5.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.000	          -5.680	          -3.141	         -24.280	       29682.000	           6.490	          25.132	             NaN	              R+	          11.997	           5.001	           0.000	          28.501
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.100	          -5.658	          -2.927	         -24.227	       29677.449	           6.371	          25.051	             NaN	              R+	          11.997	           5.001	           0.100	          28.515
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.200	          -5.732	          -2.710	         -24.206	       29672.898	           6.340	          25.022	             NaN	              R+	          11.997	           5.001	           0.200	          28.534
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.300	          -5.674	          -2.473	         -24.249	       29668.347	           6.189	          25.026	             NaN	              R+	          11.997	           5.001	           0.300	          28.535
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.400	          -5.635	          -2.316	         -24.314	       29663.797	           6.093	          25.066	             NaN	              R+	          11.997	           5.001	           0.400	          28.534
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.500	          -5.693	          -2.118	         -24.341	       29659.246	           6.074	          25.087	             NaN	              R+	          11.997	           5.001	           0.500	          28.583
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.600	          -5.683	          -1.880	         -24.379	       29654.695	           5.986	          25.103	             NaN	              R+	          11.997	           5.001	           0.600	          28.529
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.700	          -5.738	          -1.837	         -24.379	       29650.144	           6.025	          25.112	             NaN	              R+	          11.997	           5.001	           0.700	          28.576
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.800	          -5.692	          -1.599	         -24.443	       29645.593	           5.912	          25.148	             NaN	              R+	          11.997	           5.001	           0.800	          28.532
           1.000	           1.000	         -11.997	          -0.001	           5.001	           0.900	          -5.695	          -1.349	         -24.405	       29641.042	           5.852	          25.097	             NaN	              R+	          11.997	           5.001	           0.900	          28.554
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.000	          -5.700	          -1.220	         -24.468	       29636.492	           5.829	          25.153	             NaN	              R+	          11.997	           5.001	           1.000	          28.678
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.100	          -5.710	          -0.936	         -24.581	       29631.941	           5.787	          25.253	             NaN	              R+	          11.997	           5.001	           1.100	          28.464
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.200	          -5.780	          -0.826	         -24.419	       29627.390	           5.839	          25.107	             NaN	              R+	          11.997	           5.001	           1.200	          28.469
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.300	          -5.708	          -0.672	         -24.447	       29622.839	           5.748	          25.114	             NaN	              R+	          11.997	           5.001	           1.300	          28.528
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.400	          -5.749	          -0.379	         -24.499	       29618.288	           5.761	          25.167	             NaN	              R+	          11.997	           5.001	           1.400	          28.568
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.500	          -5.738	          -0.142	         -24.447	       29613.737	           5.740	          25.111	             NaN	              R+	          11.997	           5.001	           1.500	          28.457
           1.000	           1.000	         -11.997	          -0.001	           5.001	           1.600	          -5.738	          -0.016	         -24.455	       29609.187	           5.738	          25.119	             NaN	              R+	          11.997	           5.001	           1.600	          28.592
