Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_center
Date: 12.07.2018
Time: 16:29
Sample: 1mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 1mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-17.003    Start position Y=-0.001    Start position Z=-11.501    Start position R=357.957
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.000	          87.438	          -2.024	           1.012	       82013.000	          87.461	          87.467	             NaN	              R+	          17.003	         -11.501	           0.000	          27.662
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.100	          87.456	          -1.599	           1.102	       82008.449	          87.471	          87.478	             NaN	              R+	          17.003	         -11.501	           0.100	          27.694
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.200	          87.428	          -1.254	           1.065	       82003.898	          87.437	          87.444	             NaN	              R+	          17.003	         -11.501	           0.200	          27.696
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.300	          87.400	          -0.878	           1.065	       81999.347	          87.404	          87.411	             NaN	              R+	          17.003	         -11.501	           0.300	          27.680
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.400	          87.471	          -0.527	           1.039	       81994.796	          87.473	          87.479	             NaN	              R+	          17.003	         -11.501	           0.400	          27.661
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.500	          87.431	          -0.141	           1.032	       81990.244	          87.431	          87.437	             NaN	              R+	          17.003	         -11.501	           0.500	          27.759
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.600	          87.461	           0.281	           1.034	       81985.693	          87.462	          87.468	             NaN	              R+	          17.003	         -11.501	           0.600	          27.716
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.700	          87.483	           0.578	           1.092	       81981.142	          87.485	          87.492	             NaN	              R+	          17.003	         -11.501	           0.700	          27.769
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.800	          87.494	           1.007	           1.027	       81976.591	          87.500	          87.506	             NaN	              R+	          17.003	         -11.501	           0.800	          27.689
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           0.900	          87.532	           1.383	           1.064	       81972.040	          87.543	          87.549	             NaN	              R+	          17.003	         -11.501	           0.900	          27.698
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.000	          87.527	           1.755	           1.016	       81967.489	          87.544	          87.550	             NaN	              R+	          17.003	         -11.501	           1.000	          27.621
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.100	          87.571	           2.111	           1.039	       81962.938	          87.596	          87.602	             NaN	              R+	          17.003	         -11.501	           1.100	          27.733
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.200	          87.685	           2.441	           1.061	       81958.387	          87.719	          87.725	             NaN	              R+	          17.003	         -11.501	           1.200	          27.825
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.300	          87.660	           2.963	           1.040	       81953.836	          87.710	          87.716	             NaN	              R+	          17.003	         -11.501	           1.300	          27.785
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.400	          87.643	           3.210	           1.128	       81949.284	          87.701	          87.709	             NaN	              R+	          17.003	         -11.501	           1.400	          27.827
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.500	          87.747	           3.695	           1.003	       81944.733	          87.825	          87.831	             NaN	              R+	          17.003	         -11.501	           1.500	          27.741
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.600	          87.793	           4.057	           1.051	       81940.182	          87.887	          87.893	             NaN	              R+	          17.003	         -11.501	           1.600	          27.756
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.700	          87.846	           4.419	           1.050	       81935.631	          87.957	          87.964	             NaN	              R+	          17.003	         -11.501	           1.700	          27.739
           1.000	           1.000	         -17.003	          -0.001	         -11.501	           1.800	          87.920	           4.803	           1.103	       81931.080	          88.051	          88.058	             NaN	              R+	          17.003	         -11.501	           1.800	          27.770
