Measurement mode: Multipole mode
Scanning path: 
Sr+360
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************
File name: IPM_evide_surface
Date: 12.07.2018
Time: 16:32
Sample: 3mm
Gaussmeter: MMS-1A-RS
Hall probe: SENIS AG
Air gap: 3mm
Scanning resolution [µm]: 1000
Resolution rotation [°]:  0.1
Custom space line for Area scan: off
Probe offset X: -0.235mT;   Probe offset Y: -0.33mT;   Probe offset Z: -0.193mT;
Position offset X: 0mm;   Position offset Y: 0mm;   Position offset Z: 0mm;
Start position X=-19.001    Start position Y=-0.001    Start position Z=0.001    Start position R=67.786
System serial number:MMS-1A-RS
Probe serial number: F3A-03K02D-S.2T/01T/25KJ  238-17, Selected measurement range: 200 mT
Calibration date:
Coordinate system: Rot table
Probe angle position: 0 degrees
Filter is turned ON          Lower Cut Off: 2500
Linear speed: 13 mm/s          Rotation speed: 120 deg/s
Graph view for Diameter and Multipole mode for full rotation: Default
****************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************************


           Slice	            Line	          X [mm]	          Y [mm]	          Z [mm]	  Rotation [deg]	         Bx [mT]	         By [mT]	         Bz [mT]	Rot. Enc [steps]	        Bxy [mT]	       Btot [mT]	Angle error [deg]	       Direction	         R [mm] 	          Z [mm]	     Theta [deg]	Probe temp [°C] 
                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                	                
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.000	          40.406	          -7.172	         -19.574	       78834.000	          41.038	          45.467	             NaN	              R+	          19.001	           0.001	           0.000	          29.110
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.100	          40.510	          -6.876	         -19.654	       78829.449	          41.090	          45.548	             NaN	              R+	          19.001	           0.001	           0.100	          29.248
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.200	          40.500	          -6.474	         -19.675	       78824.898	          41.015	          45.490	             NaN	              R+	          19.001	           0.001	           0.200	          29.258
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.300	          40.497	          -6.291	         -19.688	       78820.348	          40.982	          45.466	             NaN	              R+	          19.001	           0.001	           0.300	          29.331
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.400	          40.541	          -6.016	         -19.684	       78815.797	          40.985	          45.467	             NaN	              R+	          19.001	           0.001	           0.400	          29.340
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.500	          40.630	          -5.698	         -19.756	       78811.246	          41.028	          45.537	             NaN	              R+	          19.001	           0.001	           0.500	          29.344
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.600	          40.584	          -5.521	         -19.770	       78806.695	          40.958	          45.479	             NaN	              R+	          19.001	           0.001	           0.600	          29.342
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.700	          40.668	          -5.304	         -19.745	       78802.144	          41.013	          45.518	             NaN	              R+	          19.001	           0.001	           0.700	          29.298
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.800	          40.694	          -4.921	         -19.797	       78797.593	          40.990	          45.520	             NaN	              R+	          19.001	           0.001	           0.800	          29.380
           1.000	           1.000	         -19.001	          -0.001	           0.001	           0.900	          40.721	          -4.613	         -19.745	       78793.042	          40.981	          45.490	             NaN	              R+	          19.001	           0.001	           0.900	          29.291
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.000	          40.724	          -4.407	         -19.819	       78788.492	          40.962	          45.505	             NaN	              R+	          19.001	           0.001	           1.000	          29.379
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.100	          40.736	          -4.038	         -19.851	       78783.941	          40.936	          45.495	             NaN	              R+	          19.001	           0.001	           1.100	          29.306
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.200	          40.755	          -3.742	         -19.859	       78779.390	          40.926	          45.490	             NaN	              R+	          19.001	           0.001	           1.200	          29.357
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.300	          40.829	          -3.505	         -19.847	       78774.839	          40.979	          45.532	             NaN	              R+	          19.001	           0.001	           1.300	          29.295
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.400	          40.802	          -3.268	         -19.887	       78770.288	          40.933	          45.508	             NaN	              R+	          19.001	           0.001	           1.400	          29.346
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.500	          40.873	          -2.930	         -19.852	       78765.738	          40.978	          45.534	             NaN	              R+	          19.001	           0.001	           1.500	          29.252
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.600	          40.833	          -2.669	         -19.811	       78761.187	          40.920	          45.463	             NaN	              R+	          19.001	           0.001	           1.600	          29.294
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.700	          40.877	          -2.389	         -19.919	       78756.636	          40.947	          45.535	             NaN	              R+	          19.001	           0.001	           1.700	          29.237
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.800	          40.852	          -2.064	         -19.888	       78752.085	          40.904	          45.483	             NaN	              R+	          19.001	           0.001	           1.800	          29.320
           1.000	           1.000	         -19.001	          -0.001	           0.001	           1.900	          40.883	          -1.834	         -19.888	       78747.534	          40.924	          45.500	             NaN	              R+	          19.001	           0.001	           1.900	          29.223
           1.000	           1.000	         -19.001	          -0.001	           0.001	           2.000	          40.792	          -1.537	         -19.780	       78742.983	          40.821	          45.361	             NaN	              R+	          19.001	           0.001	           2.000	          29.301
           1.000	           1.000	         -19.001	          -0.001	           0.001	           2.100	          40.818	          -1.336	         -19.914	       78738.432	          40.840	          45.436	             NaN	              R+	          19.001	           0.001	           2.100	          29.270
           1.000	           1.000	         -19.001	          -0.001	           0.001	           2.200	          40.868	          -1.005	         -19.935	       78733.882	          40.880	          45.482	             NaN	              R+	          19.001	           0.001	           2.200	          29.315
           1.000	           1.000	         -19.001	          -0.001	           0.001	           2.300	          40.916	          -0.768	         -19.948	       78729.331	          40.923	          45.526	             NaN	              R+	          19.001	           0.001	           2.300	          29.295
           1.000	           1.000	         -19.001	          -0.001	           0.001	           2.400	          40.870	          -0.427	         -19.880	       78724.780	          40.872	          45.451	             NaN	              R+	          19.001	           0.001	           2.400	          29.275
           1.000	           1.000	         -19.001	          -0.001	           0.001	           2.500	          40.813	          -0.166	         -19.833	       78720.229	          40.813	          45.377	             NaN	              R+	          19.001	           0.001	           2.500	          29.369
